County,State,num_waste_facilities,pm2.5,white,black,asian,hispanic,native_american,other,population,asthma_rates
Alameda,California,15,8.7,0.439,0.113,0.282,0.226,0.006,0.088,1647704,9.1
Alpine,California,2,8,0.724,0.008,0.008,0.078,0.189,0,1071,9.3
Amador,California,2,10,0.867,0.024,0.015,0.13,0.014,0.042,37383,9.3
Butte,California,5,7.7,0.831,0.015,0.043,0.154,0.011,0.036,226864,9.4
Calaveras,California,9,8.1,0.922,0.006,0.01,0.112,0.01,0.009,45171,9.3
Colusa,California,2,6.3,0.876,0.01,0.016,0.578,0.01,0.057,21588,7.3
Contra Costa,California,9,8.1,0.597,0.088,0.155,0.251,0.005,0.086,1135127,12.1
Del Norte,California,4,5.5,0.778,0.023,0.024,0.193,0.066,0.024,27540,7.2
El Dorado,California,5,7,0.87,0.01,0.042,0.125,0.008,0.034,185625,12.1
Fresno,California,26,13,0.616,0.05,0.099,0.52,0.01,0.183,979915,11.3
Glenn,California,2,5,0.84,0.007,0.024,0.402,0.018,0.083,28085,7.3
Humboldt,California,18,6,0.812,0.012,0.028,0.107,0.051,0.035,136646,12.5
Imperial,California,16,12.5,0.695,0.027,0.014,0.827,0.011,0.203,180883,12.1
Inyo,California,9,6.2,0.819,0.01,0.012,0.211,0.114,0.02,18144,9.3
Kern,California,32,15.9,0.743,0.055,0.046,0.516,0.012,0.108,884788,16.7
Kings,California,3,15.5,0.67,0.064,0.038,0.531,0.014,0.17,149785,15.8
Lake,California,3,2.9,0.788,0.022,0.014,0.189,0.035,0.111,64116,17.3
Lassen,California,11,9.4,0.797,0.089,0.017,0.184,0.028,0.037,30870,7.2
Los Angeles,California,171,12,0.525,0.083,0.142,0.483,0.006,0.202,10137915,7.8
Madera,California,4,12,0.79,0.033,0.02,0.562,0.016,0.104,154697,10.3
Marin,California,3,6.5,0.79,0.023,0.057,0.158,0.003,0.079,260651,6.8
Mariposa,California,5,12.3,0.881,0.013,0.013,0.101,0.031,0.018,17410,9.3
Mendocino,California,12,6.6,0.828,0.006,0.018,0.24,0.04,0.054,87628,9.3
Merced,California,3,12,0.586,0.034,0.075,0.575,0.007,0.252,268672,10.3
